"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/1993","AQS","550790041","1","0.9","ppm","10","MILWAUKEE UWM-NORTH","19","79.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/02/1993","AQS","550790041","1","1.2","ppm","14","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/03/1993","AQS","550790041","1","1.2","ppm","14","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/04/1993","AQS","550790041","1","1.1","ppm","13","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/05/1993","AQS","550790041","1","1.2","ppm","14","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/06/1993","AQS","550790041","1","1.4","ppm","16","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/07/1993","AQS","550790041","1","1.4","ppm","16","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/08/1993","AQS","550790041","1","1.1","ppm","13","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/09/1993","AQS","550790041","1","0.6","ppm","7","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/10/1993","AQS","550790041","1","0.6","ppm","7","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/11/1993","AQS","550790041","1","0.9","ppm","10","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/12/1993","AQS","550790041","1","1.4","ppm","16","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/13/1993","AQS","550790041","1","1.1","ppm","13","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/14/1993","AQS","550790041","1","1.5","ppm","17","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
"01/15/1993","AQS","550790041","1","1.5","ppm","17","MILWAUKEE UWM-NORTH","24","100.0000","42101","Carbon monoxide","33340","Milwaukee-Waukesha-West Allis, WI","55","Wisconsin","079","Milwaukee","43.075","-87.884"
